Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1976,M,M,M,M,M,M,0.71,1.89,0.54,0.38,0.09,0.05,M,Asotin
1977,0.19,0.33,1,0.04,3,1.19,0.61,1.47,1.76,0.54,1.19,1.64,12.96,Asotin
1978,0.8,M,0.86,5,1.24,2,1.12,2.82,1.8,0,1.15,1.43,M,Asotin
1979,0.8,1.8,0.86,2.82,1.8,1.15,0.37,1.96,0.28,1.3,1.3,0.84,15.28,Asotin
1980,M,0.85,1.87,0.98,3.25,2.4,1.52,0.46,1.12,1.78,1.67,M,M,Asotin
1981,M,M,2.44,1.15,2.69,1.83,1.23,0.22,0.88,1.65,1.79,M,M,Asotin
1982,1.28,1.89,1.22,2.06,1.21,1.68,2.38,0.92,1.51,1.41,0.78,1.47,17.81,Asotin
1983,0.56,2.28,2.5,1.68,1.18,3.39,2.17,1.37,0.65,0.81,1.65,1.21,19.45,Asotin
1984,0.2,0.42,1.36,2.49,1.87,3.04,0.98,1.49,0.69,1.71,2.49,M,M,Asotin
1985,T,0.94,0.49,1.11,2,1.24,0.96,1.07,2.2,1.01,M,0.59,M,Asotin
1986,0.74,2.1,0.68,1.59,2.4,0.92,1.09,1.29,2.57,M,1.74,0.16,M,Asotin
1987,0.88,0.43,1.43,0.98,1.81,2.18,2.31,0.56,0.07,T,0.62,1.54,12.81,Asotin
1988,0.97,0.18,1.06,2.06,1.75,1.9,1.04,0,0.39,0.05,2.72,0.16,12.28,Asotin
1989,1.51,0.27,2.17,1.27,3.77,1.88,0.78,4.25,0.78,0.86,0.84,0,18.38,Asotin
1990,2.02,0.4,1.39,1.59,3.89,1.58,0.58,0.71,0,1.32,0.6,0.61,14.69,Asotin
1991,0.09,0.12,1.9,1.48,3.96,3.39,1.05,0.08,0,0.83,1.78,M,M,Asotin
1992,0.24,1.03,0.74,1.9,0.58,1.88,2.4,1.72,0.61,0.63,0.77,0.51,13.01,Asotin
1993,1.08,0.62,1.22,3.29,1.88,3.27,2.97,0.87,0.04,1.22,0.48,0.76,M,Asotin
1994,0.39,1.34,0.13,1.65,1.76,1.16,0.99,0.33,0.73,1.61,0.96,0.64,11.69,Asotin
1995,1.15,1.21,3,2.89,2.14,2.78,1.12,0.79,1.09,1.83,1.94,2.14,22.08,Asotin
1996,1.21,2.17,1.44,2.97,3.01,0.89,0.28,0.33,M,M,2.92,5.14,M,Asotin
1997,1.17,0.52,1.61,2.26,2.04,1.6,1.48,0.44,0.85,1.9,1.29,0.3,15.46,Asotin
1998,1.45,0.56,0.88,1.57,4.93,1.62,2.19,0.67,1.98,1.01,4.03,2.38,23.27,Asotin
1999,0.75,1.72,1.3,0.57,1.04,1.11,0.5,2.12,0.04,1.47,0.97,0.82,12.41,Asotin
2000,1.07,1.4,0.74,0.57,1.79,1.37,0.03,0.2,2.57,0.76,0.44,0.53,11.47,Asotin
2001,0.71,0.2,0.33,3.01,0.72,1.65,1.06,0.78,0.36,1.69,0.86,1.22,12.59,Asotin
2002,1.01,M,1.8,1.11,1.28,2.2,0.78,1.07,0.5,0.48,0.33,1.72,M,Asotin
2003,M,0.94,2.3,2.68,3.03,0.37,0.36,0.57,1.57,0.24,0.41,1.36,M,Asotin
2004,0.78,0.89,0.35,2.13,3.58,1.88,0.79,1.09,0.67,0.54,0.56,0.85,14.11,Asotin
2005,0.05,0.15,1.4,1.57,3.9,3.38,0.63,0.27,0.16,1.36,1.02,0.88,14.77,Asotin
2006,2.15,0.15,1.06,2.5,2.27,2,0.44,0.27,0.63,0.56,2.32,1.08,15.43,Asotin
2007,0.04,0.68,0.87,0.9,1.09,1.46,0.08,0.28,0.03,0.81,1.95,2.47,10.66,Asotin
2008,1.19,0.23,0.68,1.14,2,1.41,M,1.45,0.76,0.27,0.58,1.46,M,Asotin
2009,1.59,0.47,2.64,0.93,1.77,1.47,1.51,1.84,0.12,1.2,0.88,0.55,14.97,Asotin
2010,1.32,0.15,1.55,1.37,3.06,3.19,0.39,0.38,1.01,1.3,M,1.35,M,Asotin
2011,0.37,M,M,1.81,M,M,M,M,M,M,1.37,0.35,M,Asotin
2012,1.28,0.44,M,1.36,M,M,M,M,M,1.73,M,1.68,M,Asotin
2013,0.68,0.65,M,M,M,M,0.18,M,2.31,0.25,0.32,0.63,M,Asotin
2014,M,M,M,1.09,1.27,M,0.39,M,0.34,M,M,M,M,Asotin
2015,M,M,M,M,M,M,M,M,M,0.43,M,M,M,Asotin
2016,0.54,M,M,M,M,1.22,1.89,M,0.56,M,M,M,M,Asotin
2017,M,M,M,M,M,1.62,M,M,M,M,M,M,M,Asotin
2018,M,M,M,M,M,2.54,0.15,M,M,M,M,1.25,M,Asotin
2019,M,M,M,2.7,2.07,M,M,M,M,M,M,M,M,Asotin
2020,M,M,M,M,M,M,M,M,0.33,M,M,M,M,Asotin
2021,M,M,M,M,M,M,0.03,M,0.81,1.24,1.42,1.46,M,Asotin
2022,0.85,M,0.84,2.77,3.74,3.92,0.6,0.26,M,M,M,M,M,Asotin
