"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1973","M","M","M","M","M","M","90","M","87","69","57","55","M"
"1974","58","53","59","70","70","85","88","88","87","76","61","55","88"
"1975","56","55","59","68","80","87","88","84","83","73","67","56","88"
"1976","57","58","55","81","82","85","84","80","82","72","61","56","85"
"1977","55","61","61","76","72","84","86","96","76","71","59","56","96"
"1978","60","62","66","72","84","92","93","94","72","75","59","52","94"
"1979","50","53","77","75","79","85","93","M","83","73","61","57","M"
"1980","54","56","60","78","79","82","88","89","82","82","68","66","89"
"1981","56","63","68","72","77","81","88","97","86","65","67","53","97"
"1982","54","57","62","79","82","94","85","M","M","69","58","57","M"
"1983","57","60","63","73","92","79","87","83","78","67","59","54","M"
"1984","57","65","67","75","82","85","89","87","80","72","55","48","89"
"1985","48","57","M","69","85","89","94","90","76","71","57","48","M"
"1986","57","71","70","76","83","88","82","91","84","69","60","51","M"
"1987","56","55","70","79","84","90","M","89","M","M","59","56","M"
"1988","54","60","69","72","82","86","94","88","91","76","61","55","M"
"1989","54","51","57","80","79","87","82","82","M","68","58","56","M"
"1990","53","63","65","78","77","85","92","M","86","68","59","49","M"
"1991","55","63","M","74","73","76","M","86","80","M","62","54","M"
"1992","55","63","66","76","87","M","87","88","78","72","59","53","M"
"1993","53","M","60","69","83","79","75","90","M","77","60","52","M"
"1994","54","53","73","70","78","79","91","85","79","75","M","M","M"
"1995","56","M","73","72","83","90","91","83","81","68","M","54","M"
"1996","56","58","66","73","72","80","93","92","76","71","57","54","M"
"1997","56","59","63","71","82","80","85","89","82","69","64","55","89"
"1998","58","56","64","83","83","80","95","89","90","71","58","55","95"
"1999","54","51","65","M","M","82","84","80","82","65","59","55","M"
"2000","50","56","62","69","74","85","85","81","87","72","59","53","87"
"2001","54","54","67","71","83","83","M","89","78","74","59","53","M"
"2002","56","54","58","67","M","89","88","89","79","69","60","52","M"
"2003","59","54","68","68","77","90","94","87","87","71","56","51","94"
"2004","54","58","75","79","76","86","96","88","73","71","58","55","M"
"2005","60","62","68","75","87","82","89","88","78","69","54","58","89"
"2006","53","55","60","74","83","89","95","87","86","72","59","51","95"
"2007","53","59","64","74","83","81","93","82","81","63","58","58","93"
"2008","50","55","57","75","87","88","85","85","78","65","60","54","88"
"2009","51","53","57","75","80","87","94","88","83","65","56","53","94"
"2010","52","56","65","69","72","77","90","91","81","69","66","55","91"
"2011","54","54","58","63","71","79","81","82","80","64","53","52","82"
"2012","53","56","59","70","79","74","79","88","81","72","60","50","88"
"2013","51","53","65","70","83","84","85","83","83","72","55","53","85"
"2014","56","53","60","72","86","75","87","88","82","72","58","57","88"
"2015","58","59","68","72","82","92","92","91","77","68","M","60","M"
"2016","58","60","65","M","83","89","87","90","76","66","62","51","M"
"2017","52","55","55","63","83","89","83","89","84","68","60","52","89"
"2018","52","56","67","79","82","87","90","89","82","64","62","52","90"
"2019","52","52","74","67","81","85","87","84","76","61","59","51","87"
"2020","53","58","58","68","82","82","93","96","87","68","60","54","96"
"2021","55","52","59","79","76","105","89","91","81","66","58","56","105"
"2022","53","53","63","69","72","90","91","92","85","M","M","M","M"
