"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1945","M","M","M","36","45","46","48","49","44","39","25","M","M"
"1946","29","30","30","34","38","43","48","45","40","27","26","23","M"
"1947","M","28","26","37","38","45","46","45","37","36","26","30","M"
"1948","25","19","29","30","35","47","46","46","36","32","27","21","19"
"1949","M","M","28","34","36","43","42","42","35","26","33","19","M"
"1950","-1","6","31","33","33","41","46","43","37","33","27","29","-1"
"1951","13","24","19","29","35","43","42","45","39","29","27","10","10"
"1952","9","26","29","30","35","39","42","45","41","36","21","30","9"
"1953","30","30","33","30","38","41","48","49","41","36","34","31","30"
"1954","17","27","25","31","32","40","46","47","37","32","31","27","17"
"1955","30","25","16","33","38","37","45","46","34","35","9","23","9"
"1956","17","12","25","34","36","44","48","46","42","31","27","15","12"
"1957","12","21","32","36","44","47","47","45","41","35","30","30","12"
"1958","31","30","29","37","39","48","48","51","41","36","21","29","21"
"1959","13","28","33","34","38","47","48","45","41","33","23","25","13"
"1960","21","22","25","35","40","44","47","49","39","35","29","22","21"
"1961","26","31","26","36","41","44","48","50","39","35","26","28","26"
"1962","12","19","27","34","35","44","42","46","46","39","36","23","12"
"1963","13","30","29","32","37","44","45","46","42","36","27","26","13"
"1964","31","26","27","29","33","44","46","45","39","31","27","3","3"
"1965","28","30","21","32","38","44","48","43","38","35","29","23","21"
"1966","24","25","27","34","37","43","46","43","42","37","29","26","24"
"1967","27","26","25","31","41","47","46","45","44","40","28","21","21"
"1968","21","24","28","28","40","45","49","47","38","31","25","3","3"
"1969","9","26","29","33","39","44","51","44","39","32","25","27","9"
"1970","24","29","23","30","38","45","47","46","37","31","25","24","23"
"1971","22","24","23","34","35","41","41","45","40","22","29","13","13"
"1972","5","12","30","31","35","42","46","45","29","27","28","11","5"
"1973","9","25","31","32","38","44","44","43","42","37","29","26","9"
"1974","14","27","27","35","33","44","47","48","40","34","30","27","14"
"1975","21","25","26","30","38","41","49","46","42","35","20","26","20"
"1976","26","23","21","32","40","42","43","46","41","32","23","27","21"
"1977","23","30","33","33","37","42","44","48","42","34","16","23","16"
"1978","22","29","27","37","36","47","49","49","44","32","21","10","10"
"1979","13","21","30","35","39","43","46","46","40","33","27","30","13"
"1980","15","30","29","32","36","44","44","39","42","33","29","17","15"
"1981","30","23","31","32","36","42","47","46","42","32","28","27","23"
"1982","10","23","29","32","41","45","48","45","39","34","25","23","10"
"1983","27","28","34","34","38","47","45","47","35","35","28","9","9"
"1984","21","30","30","33","38","46","48","44","39","26","28","18","18"
"1985","20","19","29","32","35","42","44","42","37","32","10","9","9"
"1986","32","16","32","32","39","44","43","45","43","36","27","25","16"
"1987","22","28","32","36","39","45","46","45","41","33","29","25","22"
"1988","20","20","29","34","40","43","45","45","41","32","30","26","20"
"1989","20","6","19","35","41","44","46","48","42","32","32","29","6"
"1990","27","17","29","36","38","47","49","47","40","37","32","9","9"
"1991","23","30","31","33","40","45","47","47","43","28","34","28","23"
"1992","29","32","34","33","40","44","49","45","39","32","28","16","16"
"1993","13","20","30","36","47","48","48","42","38","37","15","26","13"
"1994","27","19","28","36","37","43","46","47","45","36","25","19","19"
"1995","19","20","22","32","38","43","46","45","42","26","25","22","19"
"1996","10","16","24","33","35","41","44","46","36","29","21","20","10"
"1997","18","25","32","30","33","43","47","47","42","36","28","28","18"
"1998","17","31","27","32","36","46","49","46","41","34","33","13","M"
"1999","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2000","21","28","33","36","M","45","48","46","38","M","M","M","M"
"2001","27","22","27","32","37","45","44","46","40","33","30","27","22"
"2002","25","26","22","31","32","45","42","45","38","25","25","28","22"
"2003","29","23","29","35","37","42","46","43","41","28","22","23","22"
"2004","11","28","32","30","M","45","47","50","42","34","32","M","M"
"2005","20","24","30","35","41","46","47","53","45","39","28","M","M"
"2006","M","20","29","37","36","45","47","46","43","25","15","28","M"
"2007","17","26","24","32","33","44","48","46","41","32","14","25","M"
"2008","22","26","30","28","37","43","43","45","33","31","30","8","M"
"2009","22","27","21","31","37","43","40","45","40","30","36","16","M"
"2010","31","28","29","30","34","46","44","43","41","32","11","19","M"
"2011","20","13","27","25","37","43","43","44","39","32","24","22","13"
"2012","22","24","27","31","36","38","44","46","38","35","24","30","22"
"2013","22","28","29","33","34","45","47","47","43","33","27","15","15"
"2014","28","20","33","35","45","46","50","50","42","43","21","23","20"
"2015","25","32","30","36","M","45","52","46","37","M","M","M","M"
"2016","23","33","31","39","41","44","50","49","43","36","38","20","M"
"2017","19","22","33","37","40","45","50","49","42","36","30","26","19"
"2018","27","23","30","38","44","46","50","50","43","35","31","25","23"
"2019","29","16","26","37","43","45","49","50","M","30","24","M","M"
"2020","26","29","29","34","39","M","M","M","M","M","M","M","M"
