Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
1943-1944,M,M,M,M,M,M,M,M,M,M,M,0,M,Benton
1944-1945,0,0,0,0,T,M,1.5,1.5,0,0,0,0,M,Benton
1945-1946,0,0,0,0,0.8,4.5,T,0,0,0,0,0,5.3,Benton
1946-1947,0,0,0,0,3,0.2,T,1,M,M,0,0,M,Benton
1947-1948,0,0,0,0,0,T,2,2,M,M,M,0,M,Benton
1948-1949,0,0,0,0,0.9,3.5,1.8,6,0,0,0,0,12.2,Benton
1949-1950,0,0,0,0,0,T,M,M,3,0,0,0,M,Benton
1950-1951,0,0,0,0,0,0,3,0.5,M,0,0,0,M,Benton
1951-1952,0,0,0,0,0,M,3.3,0,0,0,0,0,M,Benton
1952-1953,0,0,0,0,0,0,0,0,0,0,0,0,0,Benton
1953-1954,0,0,0,0,0,0,8,1,0,0,0,0,9,Benton
1954-1955,0,0,0,0,0,0,0,0,0,0,0,0,0,Benton
1955-1956,0,0,0,T,M,M,9,3.8,T,0,0,0,M,Benton
1956-1957,0,0,0,0,T,2,8.4,1.5,0.6,0,0,0,12.5,Benton
1957-1958,0,0,0,0,0,0,0,0,T,0,0,0,T,Benton
1958-1959,0,0,0,0,0,0.3,4.7,3.7,0,0,0,0,8.7,Benton
1959-1960,0,0,0,0,0.1,1.3,9.7,0,1.7,0,0,0,12.8,Benton
1960-1961,0,0,0,0,0,2.4,1.2,0,0.3,0,0,0,3.9,Benton
1961-1962,0,0,0,0,0.8,3.5,0.1,0.4,1.6,0,0,0,6.4,Benton
1962-1963,0,0,0,0,0,0,3.4,3.2,0,T,0,0,6.6,Benton
1963-1964,0,0,0,0,0,2.9,2.5,0.1,T,0,0,0,5.5,Benton
1964-1965,0,0,0,0,0,12.7,6.3,T,0.3,0,0,0,19.3,Benton
1965-1966,0,0,0,0,0,3.2,1,0,T,0,0,0,4.2,Benton
1966-1967,0,0,0,0,T,1.5,T,0,0,0,0,0,1.5,Benton
1967-1968,0,0,0,0,T,5.5,0.8,T,0,T,0,0,6.3,Benton
1968-1969,0,0,0,0,0,4.4,20.5,2.6,0,0,0,0,27.5,Benton
1969-1970,0,0,0,0,0,1,5.7,0,0.6,0,0,0,7.3,Benton
1970-1971,0,0,0,0,0.1,2.8,0.7,T,0.6,0,0,0,4.2,Benton
1971-1972,0,0,0,0.3,T,10.7,2.2,1.7,T,0,0,0,14.9,Benton
1972-1973,0,0,0,0,T,7,2.3,2.6,0,0,0,0,11.9,Benton
1973-1974,0,0,0,0,5,4.1,3.6,0,0,0,0,0,12.7,Benton
1974-1975,0,0,0,0,0,0.2,0.2,8.1,T,T,0,0,8.5,Benton
1975-1976,0,0,0,0,3,1.8,2.6,T,0,T,0,0,7.4,Benton
1976-1977,0,0,0,0,0,0.2,M,0,0,0,0,0,M,Benton
1977-1978,0,0,0,0,3.1,4.1,2.7,0.4,0,0,0,0,10.3,Benton
1978-1979,0,0,0,0,M,0.3,9.6,0.4,T,0,0,0,M,Benton
1979-1980,0,0,0,0,5.6,1.9,M,5.6,2,0,0,0,M,Benton
1980-1981,0,0,M,0,0.1,0.5,0,T,0,0,0,0,M,Benton
1981-1982,0,0,0,0,0,7.4,1.4,0,0,0,0,0,8.8,Benton
1982-1983,0,0,0,0,0,2.6,0.2,0,0,0,0,0,2.8,Benton
1983-1984,0,0,0,0,0,M,0.8,T,0,0,0,0,M,Benton
1984-1985,0,0,0,0,1.5,8.8,2.6,11.4,0.1,0,0,0,24.4,Benton
1985-1986,0,0,0,0,11,5.7,1.5,6.8,0,0,0,M,M,Benton
1986-1987,0,0,0,0,0,3.9,0.9,0,0,0,0,0,4.8,Benton
1987-1988,0,0,0,0,0.5,2.4,7,0,0,0,0,0,9.9,Benton
1988-1989,0,0,0,0,0,3.4,2.1,10,1.1,0,0,0,16.6,Benton
1989-1990,0,0,0,0,0,1.4,0,8.5,1.2,0,0,0,11.1,Benton
1990-1991,0,0,0,0,0,2.8,3.1,0,0.8,0,0,0,6.7,Benton
