"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1912","M","M","M","48.7","56.7","60.6","63.0","62.3","57.6","48.6","44.8","39.8","M"
"1913","34.7","38.9","42.0","49.2","54.2","60.8","62.9","64.4","58.0","50.0","44.1","40.1","M"
"1914","42.4","42.6","47.7","51.9","56.9","60.0","63.5","62.6","57.2","54.2","45.5","34.6","51.6"
"1915","38.0","43.4","49.4","52.0","55.5","60.4","64.7","64.9","58.3","53.1","41.8","40.3","51.9"
"1916","28.4","41.3","44.6","49.7","52.3","58.4","61.1","62.9","57.5","46.8","40.1","37.3","48.4"
"1917","M","39.2","40.8","M","M","M","61.9","62.7","57.7","51.4","47.7","M","M"
"1918","43.4","38.9","44.1","48.8","52.3","60.4","M","M","M","52.8","44.0","38.8","M"
"1919","38.9","40.5","44.3","49.5","53.4","M","61.6","62.0","57.9","47.8","43.3","35.2","M"
"1920","38.0","M","44.2","45.8","51.3","58.9","65.4","M","58.5","49.8","45.6","42.1","M"
"1921","41.3","45.3","45.8","48.4","54.3","61.0","60.8","62.8","55.6","53.3","44.8","38.4","M"
"1922","34.2","37.8","43.0","47.6","56.9","62.3","62.2","62.8","55.8","49.4","40.0","M","M"
"1923","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1924","M","M","M","M","M","M","62.2","62.2","57.5","M","42.6","35.0","M"
"1925","41.2","45.3","44.5","50.8","58.0","59.5","65.0","62.3","59.4","49.7","44.0","43.7","M"
"1926","40.0","46.2","49.8","55.5","56.7","62.9","65.7","64.8","56.9","53.9","47.6","39.6","53.4"
"1927","39.4","42.1","44.2","48.5","52.8","62.8","66.1","66.4","59.2","52.3","45.1","36.1","M"
"1928","40.6","42.0","47.8","49.1","57.8","60.5","66.3","63.3","57.5","51.7","44.9","37.6","M"
"1929","32.9","32.4","45.4","47.1","54.4","59.4","63.4","64.1","58.0","53.9","42.0","41.1","49.7"
"1930","29.3","43.0","46.0","52.9","53.8","58.8","63.0","64.5","58.2","49.8","43.1","39.5","50.2"
"1931","43.8","43.0","46.9","M","59.0","60.2","64.5","63.5","58.9","51.4","41.5","39.0","M"
"1932","37.4","40.5","46.6","51.4","54.6","62.3","62.2","64.0","59.3","53.4","48.1","37.6","51.4"
"1933","39.1","36.6","44.9","49.3","52.7","59.5","62.5","65.6","56.4","52.5","44.9","44.2","50.8"
"1934","43.9","46.3","50.6","55.2","57.6","60.6","62.8","64.1","58.1","53.9","48.1","42.1","53.7"
"1935","39.2","43.0","42.4","48.3","55.1","60.7","63.8","63.8","60.9","50.7","40.7","41.8","50.9"
"1936","42.1","34.0","43.1","51.8","57.3","61.7","64.0","65.3","57.5","53.2","42.3","42.0","51.2"
"1937","28.2","39.7","48.1","48.6","55.4","61.5","64.4","63.1","59.1","54.7","46.4","42.7","51.1"
"1938","40.1","41.8","45.0","51.8","54.8","60.3","64.8","M","61.7","51.7","43.2","41.0","M"
"1939","43.6","39.4","46.4","51.7","55.7","M","65.3","64.7","57.2","M","45.4","M","M"
"1940","43.5","46.4","49.4","53.6","58.2","61.2","64.5","64.1","61.8","57.0","43.9","43.7","M"
"1941","43.9","46.4","50.1","53.5","56.6","60.8","68.0","65.6","59.7","M","47.2","42.1","M"
"1942","37.5","41.6","44.7","50.1","M","60.1","66.5","M","60.3","55.1","M","M","M"
"1943","34.6","43.6","44.5","52.8","53.8","59.5","64.4","M","60.7","51.9","43.6","37.3","M"
"1944","39.2","40.7","42.6","49.7","54.7","59.8","65.2","M","61.0","54.4","45.6","37.9","M"
"1945","42.4","43.8","44.6","48.4","58.2","M","M","M","M","M","M","40.9","M"
"1946","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1947","M","43.3","M","50.7","56.7","M","M","M","M","M","44.8","M","M"
"1948","M","M","M","M","M","M","M","M","M","M","44.3","36.4","M"
"1949","29.5","M","45.9","50.2","57.0","59.0","M","63.0","M","M","M","M","M"
"1950","M","39.0","M","M","M","M","M","M","M","M","M","M","M"
"1951","38.8","41.9","42.1","M","57.4","63.8","67.3","64.6","M","51.5","44.1","37.4","M"
"1952","37.0","41.8","44.3","51.0","56.8","59.5","66.4","66.6","60.8","54.4","40.1","41.1","M"
"1953","45.7","42.5","45.7","49.8","55.8","58.9","65.2","65.0","60.1","51.7","45.9","41.7","M"
"1954","36.5","43.8","43.0","48.7","56.0","58.7","62.2","61.8","59.6","50.7","49.1","40.8","50.9"
"1955","39.9","39.5","40.4","46.3","53.3","60.7","62.2","62.9","58.9","51.2","38.5","37.9","M"
"1956","38.8","35.7","42.0","50.9","58.7","58.7","66.7","64.9","59.1","50.5","41.7","40.6","M"
"1957","32.2","40.0","45.7","52.5","60.2","62.6","63.6","63.0","62.4","50.1","41.2","M","M"
"1958","41.6","47.1","M","51.0","61.3","65.4","69.7","66.1","59.3","52.8","43.0","M","M"
"1959","40.8","41.0","44.8","50.4","53.8","61.0","64.8","61.7","56.5","50.6","42.1","39.0","M"
"1960","38.1","41.0","43.9","49.7","52.9","59.4","65.5","62.4","57.2","52.0","43.1","38.0","M"
"1961","43.2","44.2","45.9","47.8","54.9","63.6","66.5","67.2","M","49.2","40.0","39.4","M"
"1962","37.4","42.1","42.6","50.8","51.9","59.3","63.9","M","60.0","52.3","45.6","41.7","M"
"1963","34.2","46.8","43.9","48.7","M","59.7","62.6","63.0","62.8","M","44.4","41.0","M"
"1964","41.5","41.4","45.1","47.6","53.6","60.2","64.1","63.3","58.1","52.3","41.4","36.4","50.5"
"1965","40.5","42.8","44.9","51.0","53.3","61.0","66.7","65.9","57.4","55.2","47.9","39.2","52.2"
"1966","40.3","42.8","45.5","50.1","55.1","59.9","63.5","64.5","61.3","51.3","45.1","44.2","52.1"
"1967","42.3","42.9","42.1","46.5","55.9","64.4","65.6","69.1","63.5","54.0","45.7","40.4","52.8"
"1968","39.9","46.0","48.0","49.0","56.5","60.4","67.0","63.3","59.5","50.9","45.0","35.9","M"
"1969","32.4","40.9","45.8","49.5","58.2","65.6","64.3","61.8","59.8","50.5","44.8","42.3","M"
"1970","40.2","44.9","45.3","47.5","55.1","63.2","65.1","63.7","56.8","50.0","44.7","38.4","M"
"1971","39.9","41.5","42.1","49.2","M","57.6","65.8","M","58.0","50.9","45.3","37.7","M"
"1972","36.7","41.6","47.4","47.0","58.1","60.3","64.6","64.3","56.5","49.1","44.8","37.5","50.7"
"1973","38.7","43.7","46.3","49.5","56.4","60.6","64.0","60.8","59.4","51.1","42.0","43.3","51.3"
"1974","38.6","43.6","45.8","50.1","53.6","61.1","62.8","65.0","62.2","M","M","42.9","M"
"1975","40.0","41.7","43.8","46.5","55.4","59.8","M","62.3","60.5","52.1","44.5","42.5","M"
"1976","42.5","41.5","43.1","49.6","M","M","63.6","62.6","61.3","51.6","45.2","42.2","M"
"1977","36.6","45.6","44.2","51.8","53.5","61.3","63.1","M","57.0","M","42.8","M","M"
"1978","43.6","45.5","47.9","M","54.9","63.6","65.8","64.9","58.4","53.0","M","36.9","M"
"1979","35.4","41.6","M","M","M","60.6","66.1","65.0","M","M","43.3","44.1","M"
"1980","M","44.0","M","53.0","M","M","63.6","62.5","M","M","45.8","43.9","M"
"1981","42.8","43.7","48.6","M","54.2","M","M","66.9","60.0","M","44.3","M","M"
"1982","M","42.8","44.8","47.4","55.2","M","M","64.5","M","51.6","41.1","39.4","M"
"1983","43.8","46.4","47.7","49.8","M","60.5","64.3","65.4","58.1","50.1","47.3","M","M"
"1984","42.8","44.8","49.0","M","54.4","60.1","65.5","64.5","59.5","49.2","44.5","36.4","M"
"1985","36.4","39.5","43.1","M","M","61.0","67.5","64.1","56.6","M","34.7","34.8","M"
