Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1945,M,M,M,47.2,56,57.6,61.6,60.9,55.9,52.4,M,M,M,Island
1946,41.6,42.4,43.7,47.7,53.4,56.5,59.4,58,55.3,47,40.9,38.4,M,Island
1947,M,42.4,44.1,49,54.2,57.7,59.7,58.6,55.1,52.1,43.2,43.2,M,Island
1948,40,39.3,43.3,46.3,52.1,58,59.1,58.8,54.7,48.4,43.8,36.7,M,Island
1949,M,M,43.7,47.5,52.4,55.2,56.4,57.4,55.2,46.3,47.8,38.8,M,Island
1950,23.9,40.6,42.9,47,50.5,56.8,57.3,58,54.7,49.6,43.3,45.5,47.5,Island
1951,38.2,40.4,39.6,46.5,52.1,57.5,58.9,58.4,56.1,50.1,44.7,37.4,48.4,Island
1952,38.2,41.6,43.3,47.1,51.9,54,57.7,58.6,56.3,51.1,42.8,44.4,48.9,Island
1953,47,43.8,45.4,49,53.4,54.5,58.8,60.6,57,52.6,49.4,44,51.3,Island
1954,37.3,43.1,41.9,46.3,52.1,54.4,56.7,57.4,57.1,50.5,50.2,43.3,49.2,Island
1955,41,40,40,45,49.7,53.7,55.4,56.5,54.3,49.1,39.8,38.1,46.9,Island
1956,39.2,36.3,41,47.1,53,54.8,58.8,58.1,54.7,49.5,42.9,41.1,48.1,Island
1957,32.8,38.5,44.1,49.1,54.2,56.7,57.8,58.5,58.1,49.8,44.2,44.4,49.1,Island
1958,44.8,47,44.6,48.6,55.6,59.3,61.4,60.3,56.8,51.6,43.7,44.9,51.6,Island
1959,40.7,40.9,44.5,48.5,52.1,58.4,60.9,58.3,55.9,51.7,43.2,40.8,49.7,Island
1960,39.3,41.4,43.3,48.4,52.7,55.7,59.6,59.5,53.9,51.4,44.1,40.6,49.2,Island
1961,44.4,45.9,46.7,52.5,55.5,57.2,59.9,62.5,56.1,49.9,44.4,41.7,51.4,Island
1962,38.6,41.4,41,47.8,50.8,55.1,57.8,59.7,58.8,53,47.5,43.2,49.6,Island
1963,35.4,45.8,44.6,48.6,53.5,56,57.9,58.7,58.2,54,46.1,43.4,50.2,Island
1964,44.7,41.9,41.8,43.6,48.6,56.1,58.2,60.1,54.1,49.9,42.3,36.5,48.2,Island
1965,39.8,43.3,42.9,48.4,50.2,56.5,59,59.5,54.2,52.6,48.4,41.3,49.7,Island
1966,42.1,43,44.3,48.8,51.4,56,57.3,58.5,57.9,50.5,46.5,45.4,50.2,Island
1967,43.8,43.4,43.8,46.4,53,58.8,60.3,61.5,62.2,54.7,46,42.1,51.4,Island
1968,41.3,44.1,48.1,47.1,55.3,58,61,59.5,55,49,43.6,36.7,49.9,Island
1969,32,40.7,45.4,48.8,55.7,58.8,60.7,57.9,55.7,50,44.7,42.7,49.5,Island
1970,40.2,44.1,44.8,46.8,51.7,56.9,58.6,58.5,55.8,50.1,46.1,41,49.5,Island
1971,41.4,42.7,43,47.7,51.5,53.3,57.1,60.6,54.4,47.2,44.3,35.6,48.3,Island
1972,34.1,39.9,45,45.2,53.3,55.1,59.7,59.3,53.6,46.6,44.7,37.1,47.8,Island
1973,39.5,41.9,45.1,47.6,52.7,55.9,58.5,56.8,57.9,50.4,42.6,43.8,49.4,Island
1974,37.8,42,43.8,49,50.3,56,58.8,59.3,56.8,49.7,46.5,44.7,49.6,Island
1975,39.6,39.6,42.8,45.5,51.7,54.7,57.8,57.1,55.9,51.1,44.7,40.8,48.5,Island
1976,42.2,41.8,41.9,48.6,51.5,54.3,57.7,55.9,55.9,48.6,43.2,43.8,48.8,Island
1977,38.6,44.9,45.7,47.4,50,55.1,56.8,60.5,55.7,47.7,42,40,48.7,Island
1978,40.8,44.3,46,48.9,52.2,58.8,59.1,59.4,57.1,51,40.2,37.1,49.6,Island
1979,34.2,40.9,45.9,47.8,53.7,55.9,59.5,59.6,59,51.5,43.3,44.5,49.7,Island
1980,35.4,43.9,44.6,49.9,52.6,55.7,57.9,57.9,56,51.8,46.7,43.8,49.7,Island
1981,44.6,43.3,47.4,48.8,53,56,58.2,61.3,57.1,50.1,47.1,41.9,50.8,Island
1982,39.4,41.6,43.9,46.5,52.3,57.7,58.5,58.9,57,51.3,42.2,41.3,49.2,Island
1983,44.9,46,49,48.8,54.9,57.9,60.2,60.5,57.3,49.7,47.4,35.2,51,Island
1984,42.7,45.4,47.6,49.3,52.1,56.2,59.1,60.2,56.6,49.5,45.2,36.5,50,Island
1985,37.6,40.5,44,48.4,52.5,56.7,60.3,59.9,55.2,50.7,35.2,37.7,48.3,Island
1986,46,41,48.1,47.4,53.7,57.6,57.5,61.1,56.8,51.3,45.1,42.3,50.7,Island
1987,41.4,45.7,48,51,54.7,57.7,59.5,59.5,57.1,51.3,48.5,40.6,51.3,Island
1988,40.7,43.7,45.1,49.3,54,56.9,59.2,59.8,56.2,52.5,46.4,42.8,50.6,Island
1989,40.8,34.8,44,51.1,53.7,58.8,59.5,60,57.4,51,46.8,43.6,50.2,Island
1990,43,39.8,45.4,50.9,54.3,58.8,63.2,62.3,58.1,51.3,46.5,35.7,50.8,Island
1991,40,47.2,43.8,48.7,54.8,56.9,60.4,60.7,57.9,49.5,48.2,46.2,51.2,Island
1992,46.7,47.6,49.2,53,56.9,61.1,62.1,62,56.6,52,44.5,38.2,52.5,Island
1993,35.6,42.5,48.5,52.9,59.1,60.1,61.3,61.6,54.5,52.2,41.5,41.4,51,Island
1994,45,40.5,46.1,51.1,54.8,56.6,59.9,61.2,58.4,50,42.1,41.5,50.6,Island
1995,43,43.4,45.9,49.1,53.3,57.5,60.1,57.5,57.6,50.2,47.4,41.7,50.6,Island
1996,38.6,40.8,44.5,50.1,50.8,55.8,59.1,59.2,54.2,48.6,42.9,37.8,48.6,Island
1997,40.6,41.1,44.7,48.1,54.1,56.9,59,60.8,58.5,51,47.2,42.1,50.4,Island
1998,42,45.8,46.3,47.8,53,56.4,58.9,60,55.9,50.6,46.6,40.4,M,Island
1999,M,M,M,M,M,M,M,M,M,M,M,M,M,Island
2000,42.7,45.5,47.9,51.5,M,58.8,61,60.3,57.2,M,M,M,M,Island
2001,42.1,38.9,44.5,46.9,50.9,54.1,56.7,58.7,55,49,46.3,40.4,48.7,Island
2002,41.4,41.5,40.2,46.8,50.2,56.4,58,58,54.6,47.3,46.1,42.9,48.6,Island
2003,44.5,40.8,46.5,48.1,52.1,56.9,59.5,58,56.4,52.5,40.8,41.5,49.9,Island
2004,41.3,43.3,46,49.7,M,57.1,61.1,61.1,55.4,50.9,45,M,M,Island
2005,41,39.5,47.4,49,55.3,56.8,61.9,65.9,61.8,55.6,44.5,M,M,Island
2006,M,41.2,45.3,48.5,51.8,57.4,59.7,57.6,56.1,48.6,44.3,41.7,M,Island
2007,39.1,43.9,46.6,48.7,51.7,55.7,60.2,58.8,54.3,49.5,42.7,40.4,M,Island
2008,39,41.8,43.1,45.2,51.9,54,56.9,59,54.7,49.3,47.9,36.1,M,Island
2009,38.9,39.7,41.5,46.9,51,57.2,59.8,58.6,56.8,50.2,46.6,37.2,M,Island
2010,46.2,45.2,46,48.6,51.3,55.3,58.8,57.7,56.6,50.9,43.1,42.8,M,Island
2011,40.3,38.2,45.2,45.1,49.8,55,57,57.6,57,49.7,42.7,39.8,48.1,Island
2012,39.8,42.6,42.4,47.9,50.6,53.7,56.2,59,54.3,50.3,45.8,41.2,48.7,Island
2013,38.4,42.5,44.2,47.5,52.5,57.3,58.5,59.8,57.4,48.5,47,39.4,49.4,Island
2014,44,41.1,49.2,52.3,56.7,59.2,61.1,62,60.3,57.3,46.7,45.8,53.1,Island
2015,45.5,48.9,50.3,51.1,M,60.5,64.2,60.9,56.6,M,M,M,M,Island
2016,42.4,45.9,48.3,52.4,M,58.7,61.7,62.2,57.3,55,52.8,38.6,M,Island
2017,39.1,41.6,47.2,52,54.5,58.5,60.9,62.2,59.4,51.5,48,41,51.3,Island
2018,46.4,42.5,46.7,51.6,56.9,59.5,62.6,62.4,59,52.1,49.2,45.1,52.9,Island
2019,45.5,37.2,45.8,52,56.8,60.1,63,63.9,M,50.6,46,M,M,Island
2020,46.5,44.9,45.8,51.1,55.1,M,M,M,M,M,M,M,M,Island
