Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1906,M,M,33.1,M,55.4,M,76.3,68.1,60.2,M,32.5,M,M,Okanogan
1907,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1908,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1909,M,M,M,M,M,M,M,M,M,M,M,M,M,Okanogan
1910,18.8,18.1,39.5,M,M,M,M,M,M,M,M,23.4,M,Okanogan
1911,M,20.3,37.8,47.7,54.6,M,M,M,M,M,27,20.5,M,Okanogan
1912,17.4,29.9,33.8,47.6,56.4,65.3,M,63,55.5,43.7,34.5,23,M,Okanogan
1913,13.8,18.6,32.8,48.5,54.2,62,66.7,67.7,57.3,44.2,35.1,24.4,M,Okanogan
1914,25.6,21.9,35.6,50.6,56.5,60.7,69.6,69.6,55.7,49.8,35.7,17.4,45.8,Okanogan
1915,18.1,30.6,41.2,52.1,54,61.5,66.7,72.5,58.2,48.6,27.6,21.4,M,Okanogan
1916,6.8,22.6,33.2,47.2,51.8,60.9,63.6,67.8,58.5,47.6,29.3,13.4,M,Okanogan
1917,16.3,22.3,28.8,43.6,55,57.8,70.4,75.4,59.5,52.3,41.2,M,M,Okanogan
1918,27.9,22.2,M,M,M,M,M,M,65.8,53.6,36.4,27.4,M,Okanogan
1919,23.5,23,32.5,48.7,M,60.1,M,M,60.1,M,32.6,M,M,Okanogan
1920,M,M,39.1,M,M,M,M,M,M,M,M,M,M,Okanogan
1921,M,M,M,M,56,61.8,67.3,68.1,53.3,49.5,32.8,20.2,M,Okanogan
1922,10.7,15.6,29.6,44.9,53,66.7,71.3,68.3,60.6,50.6,31.9,16.1,43.5,Okanogan
1923,20.8,20.6,33.9,48.2,54.1,61.1,70,68.8,61.6,49,37,22.2,45.7,Okanogan
1924,14.6,31.3,39,45.4,59.5,63.1,71,67.9,59.3,46.1,30.4,15.6,M,Okanogan
1925,19.6,31.9,40.1,49.2,57.5,63.1,72.4,66.8,58.9,46.2,34.3,31.3,47.7,Okanogan
1926,22.3,34.3,44.2,52,54.6,66.2,72.8,67.9,52.9,48.2,38.1,23.2,M,Okanogan
1927,19.4,26.4,36,45.7,52.1,62.7,69.5,68.8,55.3,45.5,32.1,16.1,M,Okanogan
1928,23.9,30.3,38.8,44.2,58,62.2,70.7,67.4,58,44.8,34.4,18.4,46,Okanogan
1929,8.9,13.1,39.8,43.5,54.5,60.9,67.2,67.9,55.4,47.2,30.9,22.9,M,Okanogan
1930,2.1,26.7,38.9,50.3,53,58.6,72.4,67.3,58.2,45,30.3,22.9,M,Okanogan
1931,25.2,25.1,37.9,47.5,57.1,62.5,70.3,68.6,57.5,47.4,29.9,22.6,46.2,Okanogan
1932,16.4,22,35.5,49.4,54.9,65.6,65.5,67.7,58.7,46.9,35.1,21.1,44.9,Okanogan
1933,21.2,18.2,35.6,47.5,50.8,60.2,68.3,68.1,54.1,46.3,36.9,27.7,44.7,Okanogan
1934,24.1,29.7,40.4,54.2,56.8,63.7,67.9,68.8,56,47.9,38.4,23.2,M,Okanogan
1935,19.8,26,33,44.5,54.2,61.6,67.3,65,60.1,45.4,28.3,22.8,44.1,Okanogan
1936,19.6,6.2,32.6,49.4,59.1,61.9,68.6,68.6,56.4,49.4,29.2,23.5,M,Okanogan
1937,3.9,17.7,35.4,43,53.3,61.4,70.5,63.7,60.1,49.2,36,24.4,M,Okanogan
1938,M,M,M,M,54.7,64.3,71.7,65.1,63.4,48.5,32.6,21.3,M,Okanogan
1939,25.7,23.1,36.7,49.8,55.9,59.9,69.3,68.9,59.7,47.8,35.9,29.2,M,Okanogan
1940,23.1,28.6,40.4,49.8,56.9,65,69.1,67.6,62.9,50.1,30.3,26.3,47.7,Okanogan
1941,23.9,29.9,42.8,51.8,54.4,61.9,70.7,65.7,54,46.9,37.4,25.2,47.2,Okanogan
1942,18.8,27.8,36.5,49.5,52.8,58.8,68,69.1,60.9,49,30,21.3,M,Okanogan
1943,12,25.5,30.9,49.4,M,58.4,68,M,60.8,48.4,35.7,25.2,M,Okanogan
1944,20.1,27.1,35.4,48.2,54.8,62.3,68.2,65.3,60.6,52.1,35.2,19.6,45.9,Okanogan
1945,M,30.7,36.1,M,55.2,60.2,69.1,68.1,56.9,49.4,29.4,22.4,M,Okanogan
1946,22.4,24.5,M,47.6,57.2,57.8,66.4,66.5,57,43.5,27.9,21.3,M,Okanogan
1947,16.8,25.7,39.7,49.5,58.7,60.7,M,M,58.8,48.2,35.3,26.4,M,Okanogan
1948,18,23.5,31.7,43,M,64.9,64.8,63,M,44.8,32.3,12.5,M,Okanogan
1949,5.4,19.3,36.3,49,58.5,60.8,67.4,66.1,59.5,43.8,39.4,22,M,Okanogan
1950,1,25.1,35,43.5,53.3,61.5,68.1,67.9,60.1,44.9,32.6,29.1,M,Okanogan
1951,20.2,23.5,29.9,47,55.3,61.4,68.9,67,59.6,46.5,32.3,15.2,M,Okanogan
